environment_transformation,inferred_actions,counterfactual_prediction_error_per_action
5,4,"[0.7686643949337575, 0.7700579341605215, 0.7652639465910734, 0.8875447295339051, 0.6561652510369291]"
8,0,"[0.7307344163664913, 0.7687451948864333, 0.8519695822085849, 0.7512596887711265, 0.9210816096348896]"
7,1,"[0.9299185077671693, 0.6382759957385126, 1.1689850503241352, 1.1402268590520583, 0.8083717588832625]"
5,2,"[0.8206806497239529, 1.0354330880083813, 0.7851344628539464, 0.9069789160241105, 0.853946726987316]"
1,2,"[0.8302443335660439, 1.0169805586457528, 0.4406350545681416, 0.8627173737690172, 1.0104452554397343]"
7,4,"[0.952751176451477, 0.7647710897849104, 1.1294663783507923, 1.1053629087678398, 0.7560939118092804]"
4,3,"[0.6375749935709238, 0.9161717438149131, 0.8493194483296805, 0.5147214989334399, 0.8476808565615503]"
6,2,"[0.9792824123687502, 1.1397702822292706, 0.7658767969741409, 0.8628300440435283, 1.1556799974683407]"
5,0,"[0.7838456979616142, 0.9564995100348322, 0.7899253318718075, 0.9949762009085731, 0.8064594961207993]"
6,2,"[0.9278277620953859, 1.0323603317333752, 0.5986498211340312, 0.7508879226815572, 1.0361066744411156]"
8,1,"[0.8582664174530114, 0.6329905232613011, 0.9582844780980306, 0.687531472550211, 0.884212224159939]"
0,0,"[0.6666663310663943, 0.777580950898063, 0.9564306347486827, 0.7270047830405109, 0.8979744913151466]"
8,3,"[0.8369205410296002, 0.8505568047577283, 0.9051687483084836, 0.7453599125865603, 1.041618914080366]"
6,2,"[1.1398573717399179, 1.373264338597843, 1.048169205520296, 1.0618233839486497, 1.429255512015301]"
3,4,"[0.8247130211761325, 0.9117884524113489, 1.0109886700646147, 1.0267001456831517, 0.6221757811473969]"
3,4,"[0.8340449378716512, 0.9620854862990894, 0.9940855047670425, 1.1193607182473562, 0.6643061029006492]"
5,0,"[0.7466521866807218, 0.9329036064717044, 0.7785469949097512, 0.9184435960483381, 0.7469985180363544]"
6,3,"[1.1645178239712553, 1.4150274506854639, 0.9629266635034419, 0.9310808492337481, 1.5103708450836255]"
1,2,"[1.1365034959562135, 1.323786795094136, 0.7571478733422221, 1.1950863899695552, 1.2458820951328533]"
1,2,"[0.874818878786709, 1.2640070832037638, 0.5263786750534702, 1.0079324910304344, 0.9789923738748314]"
2,1,"[1.0241216857060185, 0.6511026193742335, 1.3224703740109938, 1.139566689662251, 1.142082851061978]"
3,4,"[1.1569420795768122, 1.1295398670657806, 1.2510029452185738, 1.4320009833854657, 0.6349465961758043]"
0,0,"[0.9430012411134502, 1.0238042091291712, 1.228256653152926, 1.0706474499030718, 1.1329737926797108]"
2,1,"[1.1285145023550576, 0.7773544421730165, 1.173366619048491, 1.3152930454342902, 1.2913513294685706]"
0,0,"[0.699755469512995, 1.1667731639713426, 0.9883974990735218, 0.9802215278188264, 1.0682661763250618]"
1,2,"[0.9464211658709546, 1.1449042817377757, 0.5345366129754483, 1.0994796232360193, 1.0596440540508962]"
5,2,"[0.947572896658798, 1.2042172117708405, 0.8629006278277352, 1.2193556574458408, 1.0402548889248027]"
3,4,"[0.8516200611432136, 0.8835647342087379, 0.9820195320208776, 1.0128178693626881, 0.6499128597440336]"
3,4,"[0.5902198198139981, 0.6969370414739633, 0.8563787495187427, 0.8714022654471831, 0.4856132795517032]"
7,4,"[0.7508581516906039, 0.679681142963442, 0.8974442017042975, 0.9460109524172945, 0.6687350189352566]"
0,0,"[0.5199038616334158, 0.6293264499261401, 0.598157960123867, 0.5966235910524746, 0.6241527122997181]"
7,4,"[0.7545294886517268, 0.7157898894608101, 0.9555682754323319, 0.9112551886131754, 0.6369123220338524]"
5,2,"[0.7599878353959809, 0.8654849145254265, 0.641326964147522, 0.8409385023631191, 0.6997397197051246]"
7,1,"[1.0240913742401911, 0.8693598627505015, 1.268253413047079, 1.2011641085516633, 0.8956184924477829]"
4,3,"[0.8374307153584811, 0.8886762799156808, 0.7075440600586991, 0.5742656083943376, 1.0260956922571756]"
0,0,"[0.5195912177466414, 0.7611165158077057, 0.8315309597873967, 0.7329909434831506, 0.8743349019625113]"
8,0,"[0.7514800394482154, 0.8569404499323888, 0.9088349022737665, 0.7797067242801643, 0.9296325342504179]"
1,2,"[0.801500834680851, 1.0211332447392152, 0.5926422642257817, 0.7793802198705673, 0.8376806056309456]"
8,1,"[0.729344508227652, 0.7183117359037188, 0.7804094401334403, 0.7547564311106882, 0.8334551483497439]"
1,2,"[0.5888815954963473, 0.852199292107432, 0.5159660111170845, 0.549010189617911, 0.7546804511639535]"
5,2,"[0.6868689771695479, 0.7451395145769442, 0.5398186991417182, 0.5842338048313074, 0.6842125718125437]"
5,0,"[0.5910785717479251, 0.7959455485759241, 0.620756682806431, 0.7480232961648409, 0.6649624634583216]"
4,3,"[0.7260133883696923, 0.9392388756626824, 0.6697347022036745, 0.47354612640693394, 0.8973898909272467]"
7,1,"[0.8354442196709516, 0.632669787537232, 1.0375812395152442, 1.0268111091862968, 0.7799285515312103]"
0,2,"[0.5881647133756335, 0.7569232910367407, 0.5319570834730715, 0.7326137322172794, 0.6649124212305603]"
6,3,"[0.7718444568556082, 1.0471905071479648, 0.6410801871796775, 0.6301018812231147, 0.8917626991311224]"
4,3,"[0.5033164348312317, 0.7872263350008075, 0.5638516511965967, 0.3857458694687348, 0.6882899445409439]"
4,3,"[0.6562343821454252, 0.9002939628919542, 0.5956571072141122, 0.4287279443044799, 0.88655548688033]"
0,0,"[0.41486431612518404, 0.6309516065401443, 0.5773497227994703, 0.5704275779725376, 0.5779009077985481]"
7,1,"[0.8298148880585547, 0.6636790209610093, 0.9895000766571009, 1.0242207344264858, 0.6669230896485677]"
4,3,"[0.5923282809647836, 0.8149031686480279, 0.6309394968720714, 0.3946617673102122, 0.848355793257296]"
4,3,"[0.5598764121270708, 0.8030550952808966, 0.6058486306771095, 0.4071783952017254, 0.7084994848725914]"
8,3,"[0.644631752136658, 0.6041735672152889, 0.7384640698838237, 0.4810083137643287, 0.7456820954522829]"
0,0,"[0.49756577016239345, 0.5849726340560191, 0.6947041376405195, 0.634540276321518, 0.6101667217663996]"
7,4,"[0.7303881181270886, 0.6856273573895271, 0.9238626224424074, 0.9017672255128831, 0.6747103792648149]"
0,0,"[0.4226498497833648, 0.5604816648953244, 0.5751242863276569, 0.6675702480385718, 0.597272407922606]"
8,3,"[0.6219365254885559, 0.6464315265402116, 0.7329454316924595, 0.5727108663646812, 0.7237515926657307]"
8,3,"[0.7403528192527413, 0.6846631622881724, 0.88616279328745, 0.5946796392461093, 0.8066145997377496]"
5,2,"[0.7041378502811856, 0.8402059069094776, 0.6295231667025791, 0.7610846122330281, 0.6913452042097238]"
7,4,"[0.9650281687955163, 0.8663953461080502, 1.0039625461781068, 1.1382671845020347, 0.7719791868317881]"
3,4,"[0.5607519311061473, 0.7082118768003364, 0.7359654409671308, 0.8312482545647367, 0.3060165322213215]"
2,1,"[0.8307323328766573, 0.7089350877693229, 0.8845714394653372, 0.8365676451724383, 0.86207716002334]"
8,1,"[0.7567324854614614, 0.6327129122645891, 0.9193525693315078, 0.8095733928088016, 0.8567072712470396]"
8,1,"[0.7736882972717961, 0.7075249455471213, 0.9103374978789185, 0.7375608906152612, 0.8747496251171399]"
8,1,"[0.7520048951850036, 0.6891617901723243, 0.9868964238374216, 0.8029153036824792, 0.8788043070457865]"
3,4,"[0.648018543626888, 0.7290965261946748, 0.8387473676408346, 0.7616807453647894, 0.5011005002792509]"
2,1,"[0.8351239180215829, 0.590785053388267, 0.8601604780440253, 0.8355002738629951, 0.7387652632748027]"
0,0,"[0.5945124431137497, 0.767777161829251, 0.729412879322357, 0.7256770175009026, 0.7094830532164961]"
1,2,"[0.9134982422920852, 1.0832660620918302, 0.6415382253315798, 0.7843637394287367, 0.8562999001406818]"
2,1,"[0.7241841542390068, 0.45051200877947345, 0.9912926744786698, 0.7900631355788418, 0.7850049785272576]"
3,4,"[0.8936221449037656, 0.9281874562210218, 1.0044581180669347, 0.9386930452490202, 0.571126781050661]"
5,0,"[0.7534074338921757, 0.8246183280478405, 0.7708250391660948, 0.884511411583146, 0.7784337812958491]"
8,3,"[0.8068166178321562, 0.7866126551014564, 0.8338053224149465, 0.7301793758970233, 0.9041381352727575]"
5,4,"[0.7092290324765748, 0.8002479355635674, 0.8196135538496467, 0.8547713022563854, 0.7071836536197534]"
2,1,"[0.779760217619021, 0.5068102142243055, 0.9677961255837018, 0.895298998998371, 0.6664299494350292]"
7,4,"[0.8104700548436697, 0.6907786376438106, 1.0206142452455056, 1.0307399399687707, 0.6612563784360332]"
6,3,"[0.7995657892476288, 0.8720982569957626, 0.7291641766021697, 0.6779043315101138, 0.9282863689255761]"
8,3,"[0.8088810647720062, 0.7710769873496998, 0.8964140615267862, 0.7352601947099546, 0.9022577389611154]"
5,2,"[0.6549804799435728, 0.8212290768122085, 0.602802157334571, 0.8316278803457772, 0.7184987323010362]"
5,4,"[0.6750465937355413, 0.7319544057525069, 0.7007228644174879, 0.8466321685085365, 0.5746641480970802]"
0,0,"[0.556482569299449, 0.7679005687842403, 0.5972465216892678, 0.7452585559097272, 0.6767193930524111]"
6,2,"[1.1118602415560517, 1.1558098624614468, 0.7764990673253055, 0.8098061411984439, 1.2447770513256602]"
2,1,"[1.026870416728268, 0.5635145474637838, 1.301911055747122, 1.009479647248546, 1.0466411581398563]"
4,3,"[0.9412410395305983, 0.9538796674161324, 0.8718388875855595, 0.5626659673667092, 1.113540836476386]"
1,2,"[0.8734525958461526, 1.1373163277181797, 0.6678104617584677, 0.9702847897836929, 1.0201780571297019]"
5,0,"[0.8495412867514274, 0.9971671532705487, 0.8792792812796342, 1.1363376460287018, 0.9237728617544712]"
5,4,"[0.7393728872364359, 0.8803041948936756, 0.6260646910135377, 0.908500442348223, 0.606926547031527]"
0,0,"[0.4995181343047277, 0.661739447329484, 0.6389990214923285, 0.7799185333474185, 0.5893841683802054]"
8,1,"[0.904246559439519, 0.7108342304023821, 0.9576443561871022, 0.7726668919684482, 1.0700765649066901]"
7,4,"[0.8316218498041268, 0.7884975430444132, 0.9469350171851596, 0.9818949329555031, 0.7629414530168075]"
7,4,"[0.8542285553432853, 0.7412536003390933, 0.9339420202250659, 0.9498056248841068, 0.6838352309009514]"
7,4,"[0.7815499613527227, 0.6955399209522695, 0.9356026215219517, 0.9913829547102562, 0.6921830609956078]"
4,3,"[0.7811464866965048, 0.896040354783397, 0.8479874394505628, 0.5762891476081611, 1.090017497011368]"
6,3,"[0.9458126128878072, 1.1510612572341952, 0.886499960947301, 0.8852317123685559, 1.2441755669354873]"
3,4,"[0.8421592721856618, 0.8493617727011511, 0.9846120229209384, 1.0242701102101794, 0.6927967118392884]"
2,1,"[0.7098169867150588, 0.596904959421829, 0.9181672352757725, 0.7255935479329546, 0.8018667270636728]"
1,2,"[0.7313263952000905, 0.9116255018830597, 0.49682125594928994, 0.7657443662846656, 0.8127618480276707]"
3,4,"[0.699779747955537, 0.8070977615220057, 0.7489598104475995, 0.8333943650812361, 0.5711414350445212]"
4,3,"[0.6951933315815472, 0.7796666811232039, 0.6657361754688307, 0.5005439386907068, 0.8989899283983303]"
5,4,"[0.6758557417193546, 0.8374169683493485, 0.6799551201698604, 0.818803919334093, 0.5565123548751364]"
2,1,"[0.701287735800995, 0.4512246420276308, 0.9533270169695821, 0.8213994795181606, 0.725139968653633]"
2,1,"[0.7133606964921108, 0.4850570742009522, 0.8892450488017639, 0.769692568922117, 0.7243356094402091]"
6,3,"[0.7229592989612735, 0.9492018321844359, 0.7003755227621306, 0.6923901459680947, 0.9394165190935493]"
8,3,"[0.6877873790068831, 0.7907024560630259, 0.8076256415539611, 0.6017244710958808, 0.8936040505202785]"
0,0,"[0.49971858146353754, 0.6634503450948438, 0.7354099348103615, 0.6312033188094403, 0.6649841088555339]"
1,2,"[0.6627210156928544, 0.9653657402536637, 0.5056177182311008, 0.7682007392920718, 0.8218141196431459]"
6,3,"[0.8720548876265426, 1.1335146215059217, 0.7564482414638809, 0.7232085176209985, 0.9146067006545661]"
7,1,"[0.8400060686314477, 0.7037478157307422, 1.0132519389424892, 0.9319549214706058, 0.7101419521350768]"
0,0,"[0.42616023175466433, 0.7623440176991609, 0.6000162668631672, 0.5842589198056971, 0.6496105520529991]"
3,4,"[0.6440958881360107, 0.5999681643040972, 0.7093757785289367, 0.7918112785533556, 0.48287433912340333]"
6,2,"[0.7364702034721188, 0.9174761389631786, 0.5873104709800371, 0.6593669134327006, 0.8368378823997686]"
0,0,"[0.43989083723787725, 0.6752084113176263, 0.7028236744806967, 0.7692700759814453, 0.7337779398519697]"
7,1,"[0.7627588915972626, 0.6229693442151194, 0.8484373969852198, 0.8710316478119215, 0.6855643714320141]"
2,1,"[0.7193618908893561, 0.5447422918093588, 0.9093516206386258, 0.8697450962349801, 0.6453940659178986]"
0,0,"[0.4601386946703156, 0.7391312700588182, 0.5858192515599863, 0.6956807767658284, 0.6446103521760379]"
1,2,"[0.6074692247152856, 0.8146430699506721, 0.4382701042393002, 0.661512432513582, 0.7263516037841806]"
7,1,"[0.7888328407220746, 0.6355727166026681, 0.8703675646834178, 0.8855168663006058, 0.6630446521132163]"
5,4,"[0.6125567818215186, 0.7770478852339427, 0.6516494192550664, 0.7200713306430612, 0.5375238800594699]"
6,3,"[0.804185045901294, 0.9782536389790923, 0.5910691576412201, 0.51027758624019, 0.9317369909070538]"
2,1,"[0.49446671625566274, 0.4393084108755416, 0.7940176357611319, 0.6727832870666789, 0.5384389716366557]"
7,1,"[0.766309524489037, 0.629494287586419, 0.9627199548054467, 0.9012142125004298, 0.7314429162993908]"
0,0,"[0.43561194758263594, 0.7206103951494663, 0.6919234006738395, 0.5399725654371496, 0.6890600331218488]"
6,2,"[0.7837430821251332, 0.9611970467513467, 0.5729098532425807, 0.62775042671656, 1.0054223794222146]"
8,0,"[0.6087304716098738, 0.7791094847500248, 0.7256131598774628, 0.6122486085453915, 0.6881845465147908]"
1,2,"[0.610066434530906, 0.813919646817936, 0.4376700602648194, 0.49938992110584624, 0.7178777965238318]"
3,4,"[0.5856991851786577, 0.5732799612505732, 0.7203933928732633, 0.7340504216691283, 0.4426390477696507]"
0,0,"[0.43854298444537476, 0.7425115748789365, 0.6798541682788195, 0.7364605591647042, 0.6795162552452348]"
8,3,"[0.6663131879398566, 0.7341639634720194, 0.76194581781541, 0.6308607008044281, 0.7203979230315883]"
4,3,"[0.6650288534386624, 0.7889226838924656, 0.6574703702962981, 0.4971990639991897, 0.8592771847868117]"
8,3,"[0.6314006517956195, 0.7096576258717227, 0.8347001421245683, 0.6264028015694488, 0.8239849482684632]"
7,4,"[0.7519976443201797, 0.6782344043420224, 1.0293063546691787, 1.0162459918727282, 0.6656096618142023]"
3,4,"[0.7196603923700478, 0.6854536719525753, 0.976412997982388, 0.9752507428924566, 0.4576851364541731]"
6,2,"[0.9834704645424329, 1.2710374799024655, 0.6658711239908327, 0.8642989448166235, 1.1898873717190293]"
3,4,"[0.8155751493135002, 0.8871485761063117, 0.9436667680150879, 1.1238700993646855, 0.6289701840989721]"
6,3,"[0.8719754269284143, 1.1064846713582086, 0.7515569822665232, 0.6731832759279839, 1.0543606390893847]"
8,3,"[0.935466581030731, 0.9981869799764616, 1.2365145428216646, 0.9186886989174932, 1.2181111620304466]"
3,4,"[0.9089370475497845, 1.0202178189019677, 1.0262884937377783, 1.1868225881329797, 0.5379384349071545]"
6,2,"[0.9155315048736539, 1.1459867890305189, 0.8088949651781586, 0.8641278038193472, 0.9630954836109382]"
1,2,"[0.7689547488122545, 0.9782873405365466, 0.42096043547224865, 0.9123487897135507, 0.8717865237955895]"
6,3,"[0.9080292575337391, 1.1651013305965707, 0.8850874031858151, 0.8546777907180466, 1.1774013116969377]"
2,1,"[0.7879896694754872, 0.4990447998266951, 0.9581545905946424, 0.8750628526565793, 0.7783513084779051]"
0,0,"[0.5391021410785121, 0.6821768126894039, 0.7823177643788787, 0.8274322264568225, 0.7282826779017033]"
1,2,"[0.852077698283733, 1.170673787651595, 0.4965201621826302, 0.9508217536398653, 0.854683162752598]"
1,2,"[0.8761652427990574, 1.1058702091142387, 0.4838700987842382, 1.00948947843899, 0.8276697487767821]"
8,3,"[1.0370127834316163, 0.8754987708047798, 1.0961995608385113, 0.7797790892381287, 1.12238195855821]"
0,0,"[0.44869765305832265, 0.8798310539858085, 0.9051905195807701, 0.9316307963262381, 0.9442705577326144]"
7,4,"[0.9843465728994724, 1.0068870501640994, 1.108145577208505, 1.1462794497824564, 0.9216962887570556]"
2,1,"[0.8581408738528302, 0.6352410084265877, 1.253604756008334, 0.95150436642902, 1.0749038744795318]"
7,4,"[1.1088889305395149, 1.1690254953995103, 1.4476238676037143, 1.365139051450967, 1.0449780372809991]"
5,4,"[1.0657592645092588, 1.2251413708220058, 1.0245026998069307, 1.1807907999469165, 0.8263681244788406]"
8,3,"[1.0749590444235244, 1.1233878861750317, 1.1834416012014946, 1.0494928429834487, 1.3022987700822992]"
8,3,"[1.313906000558614, 1.1567205385508206, 1.3670665443627157, 1.1265588144029344, 1.395622271920212]"
5,2,"[0.8961936119445995, 1.0661298023275978, 0.798575463457215, 0.9899834899549579, 0.9030912099521388]"
3,4,"[0.7166814595363674, 0.7421129246594156, 0.7939472442685821, 0.9075881627063845, 0.4180070518574187]"
0,0,"[0.5596552644273196, 0.7035960249600359, 0.854033025440685, 0.7766745829852166, 0.7124544508473317]"
7,1,"[0.7082274323351916, 0.5862774320335655, 0.8829372631519953, 0.9569555294738229, 0.5910822647611768]"
8,0,"[0.7798005870675125, 0.8038720863957879, 0.9084863591154057, 0.8091311936111462, 0.8730620140336333]"
7,4,"[0.8226011471585357, 0.8153442094786404, 0.9562282271114262, 1.0140700384174663, 0.708416003794697]"
5,2,"[0.7405142310708972, 0.811920877410811, 0.6774386240252466, 0.7853067777926455, 0.729639359394977]"
5,2,"[0.8123787780641548, 0.8402505669758791, 0.7128962159501254, 0.9236648777677108, 0.8148031442955999]"
7,4,"[0.8478820631645596, 0.8601288487590725, 0.9111854754379443, 1.0356079143328933, 0.6637653805444159]"
8,1,"[0.8412365550717644, 0.6171455372783865, 0.8503637875465836, 0.76442026137635, 0.8674087505169746]"
8,3,"[0.768024655883091, 0.8352861647241313, 0.8519403740290168, 0.7084730247102768, 0.8383693937843401]"
5,4,"[0.8559052770390938, 0.8958326952357221, 0.8154635139782155, 0.95302153723085, 0.7676981685858316]"
3,4,"[0.6900293326688224, 0.778960852857757, 0.8342032266793907, 0.8314345126186496, 0.5157299246406328]"
8,1,"[0.7685993380088293, 0.6145760652676558, 0.8634157899973559, 0.7432730507798093, 0.8407019894465364]"
4,3,"[0.6719907526581352, 0.8120960513013574, 0.8021952927992615, 0.5735872730112905, 0.9036351963454954]"
6,2,"[0.7953977040020452, 1.05379497312607, 0.768374173461605, 0.8091578677160287, 1.0377764536700886]"
6,2,"[0.8492763208875425, 0.9088878030488268, 0.736949431141765, 0.8473638797666534, 0.9784998952394405]"
8,1,"[0.7076418546550047, 0.5929733447283758, 0.813077313537219, 0.6308554386793056, 0.7933678668520514]"
5,2,"[0.8400515380909912, 1.0510471065549631, 0.6707771512358076, 0.9064431063677315, 0.8616187364070877]"
3,4,"[0.9329845496342055, 0.9151459913154388, 0.9860083181619597, 0.9393720468805636, 0.63756279248176]"
0,0,"[0.6010067654248573, 0.7265090288301763, 0.7755742611879675, 0.8450591264987096, 0.6781632958072836]"
0,0,"[0.572526718463817, 0.684500237082423, 0.6463674002948183, 0.7442066928796306, 0.7497170847378928]"
1,2,"[0.7295692703319154, 0.8394596077514234, 0.49416174318561595, 0.7348788471029122, 0.8706959985475947]"
4,3,"[0.6508055897697811, 0.7112649809705718, 0.7627516551100303, 0.4360756165993356, 0.8224721351194553]"
0,0,"[0.5160918260308472, 0.7228165507793293, 0.7161640076835564, 0.6927076804556045, 0.7023641649688857]"
7,1,"[0.7829258814002674, 0.6252116884068414, 0.8901784529521397, 0.901503573844322, 0.689815262132421]"
3,4,"[0.7218248832868983, 0.6650355304822824, 0.8230881559430675, 0.8270806773039242, 0.3612423609286831]"
6,3,"[0.802441771444539, 0.9202918745532621, 0.7007986364871405, 0.6651621394965692, 0.9929023074392537]"
6,3,"[1.032422025574501, 1.1746859000731606, 0.9143931589414231, 0.8146137992004041, 1.2969876531817133]"
4,3,"[0.7721935183588946, 0.8798340797528305, 0.9045526665842807, 0.5029129561568226, 0.9585484763244309]"
6,2,"[1.21310691541899, 1.3201255550764872, 0.8957084029020753, 1.1067556219991426, 1.3682190356171757]"
4,3,"[1.0317516041565034, 1.2673375753800002, 1.0656124183630193, 0.652121784998952, 1.0608524946495863]"
8,3,"[1.0618221828302796, 1.0242400478248253, 1.2403855177447791, 0.9354675465149918, 1.0021814304696155]"
0,0,"[0.7061109932710796, 0.9257281920284972, 1.0505533456765401, 0.8702712656179014, 0.97744498623315]"
3,4,"[1.2094629552763958, 1.3969521911491791, 1.1738827593549495, 1.5688346935459632, 0.9292954254895794]"
4,3,"[1.0276911418108767, 1.1834760851302637, 1.0905583028930852, 0.6694398606555465, 1.3094927302709463]"
5,4,"[1.341465767028925, 1.5619290542576254, 1.1934432482905803, 1.4480886856037876, 1.190847051588376]"
3,4,"[0.9166349197715523, 0.9265052827015833, 1.1170113016402767, 1.0987596579900298, 0.6778710757406826]"
0,0,"[0.5302864397899572, 0.8947266471525073, 1.0534283838978504, 0.8793071898419688, 0.741628821433064]"
3,4,"[0.850051581689372, 0.9062748801259694, 0.974422007940532, 1.00582410170222, 0.6541961556302043]"
4,3,"[0.971447895917171, 1.0651142764132933, 0.9808222724973509, 0.6080648244296022, 1.065603257568456]"
1,2,"[1.0560849803636714, 1.2200417513490678, 0.7608449970213016, 1.2101108332877346, 1.1760400747594633]"
4,3,"[1.0944372029606633, 1.3491254044902308, 1.1529303381137432, 0.7711783432748838, 1.387509687159739]"
2,1,"[1.1379512955272495, 0.7416357979080537, 1.444097322259978, 1.2367183535607205, 1.0612261914514132]"
6,2,"[1.1933008042748474, 1.4214185744014995, 1.1022415741660156, 1.1644600938723202, 1.3157294480316155]"
2,1,"[1.036012432452549, 0.659329605121283, 1.2276607709542955, 1.1284106712427815, 1.019407936856108]"
1,2,"[0.9665303757490074, 1.1915424631859428, 0.7438414608838739, 0.9209132044543992, 1.0757546002854184]"
5,4,"[0.9801757738930803, 1.0896870585933693, 0.9278617493490232, 1.1662458224459478, 0.8941198469771698]"
3,4,"[0.8408271306740615, 0.8571134332881346, 0.8781694571651149, 1.0592927354081674, 0.48607618551913656]"
0,0,"[0.6814320882878625, 0.7402461589755458, 0.7784405669519161, 0.814452938428191, 0.8519025435282931]"
2,1,"[0.6832922692618882, 0.6403278476791884, 0.9344767522998063, 0.752873324025059, 0.8813701596351722]"
1,2,"[0.7077396550620005, 0.8260335799741045, 0.6018402303639862, 0.7644774164003352, 0.6962931798876117]"
2,1,"[0.9322592201334662, 0.6774139775606786, 1.1406187201240998, 1.0626013460862054, 0.9177382504258919]"
3,4,"[0.6028735671398893, 0.7474757567664748, 0.7115039511704604, 0.9591406863320815, 0.467583782405001]"
8,3,"[0.8135278076017058, 0.7913081275204916, 0.8649532684309643, 0.7857373182152845, 0.9983775738222579]"
8,0,"[0.7280186943965876, 0.7934261145873129, 0.9571776291177548, 0.8794628430633284, 0.8494322790690753]"
6,3,"[0.9325298163075235, 1.0571718299572033, 0.9250664034396512, 0.854381135440144, 1.13113154181694]"
3,4,"[0.7243165781136262, 0.7996067547847181, 0.8636955003240727, 0.9777852690276863, 0.48987865267579]"
0,0,"[0.5952542637522298, 0.7326811539330949, 0.780662563361228, 0.6996941161303247, 0.7538507959652875]"
7,1,"[0.805421335565795, 0.6839813289312546, 0.9826304483504198, 0.9959672591212524, 0.8307464122276524]"
8,3,"[0.7407469208918128, 0.6845501164170607, 0.752855118138737, 0.6526757976017039, 0.7776414132979457]"
6,2,"[0.7953991155117368, 0.8896979392708348, 0.6512049351466189, 0.678729367161083, 0.9841424099557688]"
6,2,"[1.0664616908115159, 1.1809866129507869, 0.764082389763167, 0.8976632418778934, 1.2394721564523423]"
3,4,"[0.9626433037955855, 0.9331766751959856, 1.1234701150354696, 1.1269217454932923, 0.6741028055323058]"
2,1,"[0.5345896736782406, 0.3787420158870267, 0.7803642942858788, 0.6970861578791061, 0.673750063885061]"
4,3,"[0.7568791221523528, 0.854014928012813, 0.6172367870829347, 0.4897506337413212, 0.8160919986886339]"
6,3,"[0.7660255916959381, 0.9221828917454149, 0.7487040689095281, 0.7318396690242926, 0.9315025497527412]"
5,4,"[0.8964253104593229, 1.0558707538318197, 0.9106858665809152, 0.9793626172730983, 0.8275702844379226]"
5,2,"[0.9235962578490471, 0.9749724980719918, 0.8497875978746764, 0.9469042237196243, 0.96192011168568]"
8,3,"[1.041093297167883, 1.0530528262906347, 1.207254605841857, 0.9415349254843136, 1.1682250866763562]"
1,2,"[0.9922623296773173, 1.252511723052726, 0.611523397017406, 1.1351034553687531, 1.071371566496]"
1,2,"[1.036075248882819, 1.1933465949438955, 0.7673449964415247, 0.8618329887629267, 1.2225788214145683]"
1,2,"[0.9122309136616907, 1.0881244712231386, 0.6997387469692449, 0.9355391393496173, 1.137434184348534]"
2,1,"[0.9048363309400413, 0.6902551154677057, 1.2023406004950246, 1.1635781178987263, 1.0410649357721697]"
5,0,"[0.7020258252916132, 0.8977959572381551, 0.7434635304431071, 0.9470283943776387, 0.807649308701069]"
7,1,"[0.8978401059327334, 0.7776374729394643, 1.0794219059929562, 1.0785589127428632, 0.7932987796917299]"
3,4,"[0.7288239848899348, 0.675469286979552, 0.7304567222823207, 0.9050363878283231, 0.5125282382480092]"
3,4,"[0.6933567558658519, 0.786858847359713, 0.7029004345613522, 0.9512163518861426, 0.6864125296000436]"
3,4,"[0.6904696456825874, 0.8063273385461769, 0.8357369201584894, 0.9152890740276192, 0.6248926550230043]"
0,0,"[0.5655643921328172, 0.834910031889599, 0.7398313649995877, 0.5989864667673813, 0.6726207899379528]"
4,3,"[0.6580186876688826, 0.8189103202118594, 0.7895055522074608, 0.5298820874764493, 0.7758015535563326]"
7,1,"[1.1613243080580338, 0.8171176961874622, 1.274134317453928, 1.1643182394617186, 0.9575278814322793]"
6,3,"[0.853818766352706, 1.0066382057160257, 0.7362979719079559, 0.7163106885887154, 0.995297927402241]"
1,2,"[0.727982760131879, 0.7731580883591787, 0.5408334640516064, 0.6688140557591702, 0.7565792652167141]"
0,0,"[0.4579346820626142, 0.7001804231799458, 0.7419298928885744, 0.7818060861737549, 0.7630589462246435]"
8,1,"[0.8036464522373521, 0.6967116657028769, 0.939320781625693, 0.8107015710124033, 0.8927456803485068]"
7,1,"[0.9833300994965773, 0.8076592366195757, 1.2506424065042212, 1.1148323610984356, 1.030154577151195]"
4,3,"[0.8037303114932239, 0.8859961915795198, 0.8984765765627972, 0.5163239901795346, 0.942607759623437]"
7,4,"[0.9077643322324528, 0.7936436351958864, 1.1355552370906743, 1.0823674566288297, 0.7678461370063242]"
4,3,"[0.7159697452314411, 0.9530368965450399, 0.9664818456846535, 0.5357769112995335, 0.9490135272358259]"
2,1,"[0.8476514767111101, 0.5030497571447705, 0.9733515026459022, 0.983601081829936, 0.8779715819777852]"
5,2,"[1.108171559007743, 1.3232234463171861, 0.8435138269645069, 1.270087733585658, 1.1492397725442551]"
4,3,"[0.8077013678067456, 0.9502807722844483, 0.8947421768647276, 0.6495603564656296, 0.9978671735341169]"
4,3,"[0.8046744163557594, 0.994852278086989, 0.8391314274954003, 0.5247325854835255, 1.0669165982727886]"
0,0,"[0.510016585852475, 0.7075814194203155, 0.837751376503883, 0.8087150940225264, 0.6307037214906906]"
